,bug_id,feature_com,feature,score
0,112458,OB,OB,0.7628859877586365
1,112458,EB,EB,0.781925618648529
2,112458,SR,SR,0.637074887752533
3,112458,OB EB,OB,0.7564278841018677
4,112458,OB EB,EB,0.7371191382408142
5,112458,OB SR,OB,0.7430018186569214
6,112458,OB SR,SR,0.6905561685562134
7,112458,EB SR,EB,0.7623171210289001
8,112458,EB SR,SR,0.7828789353370667
9,11280,OB,OB,0.598041832447052
10,11280,EB,EB,0.8139605522155762
11,11280,SR,SR,0.8572018146514893
12,11280,OB EB,OB,0.3448331952095032
13,11280,OB EB,EB,0.7279621958732605
14,11280,OB SR,OB,0.5456014275550842
15,11280,OB SR,SR,0.8504427671432495
16,11280,EB SR,EB,0.7823092341423035
17,11280,EB SR,SR,0.9053730964660645
18,151938,OB,OB,0.9073430895805359
19,151938,EB,EB,0.8693531155586243
20,151938,SR,SR,0.8999499678611755
21,151938,OB EB,OB,0.8977982401847839
22,151938,OB EB,EB,0.8880404233932495
23,151938,OB SR,OB,0.8835433125495911
24,151938,OB SR,SR,0.8999499678611755
25,151938,EB SR,EB,0.85691899061203
26,151938,EB SR,SR,0.9206005334854126
27,269522,OB,OB,0.7834280133247375
28,269522,EB,EB,0.9079627394676208
29,269522,SR,SR,0.8844124674797058
30,269522,OB EB,OB,0.7688452005386353
31,269522,OB EB,EB,0.8139061331748962
32,269522,OB SR,OB,0.8577799797058105
33,269522,OB SR,SR,0.8844124674797058
34,269522,EB SR,EB,0.8685157299041748
35,269522,EB SR,SR,0.8704442381858826
36,28974,OB,OB,0.9132388234138489
37,28974,EB,EB,0.6659492254257202
38,28974,SR,SR,0.6770365834236145
39,28974,OB EB,OB,0.6864850521087646
40,28974,OB EB,EB,0.6524304747581482
41,28974,OB SR,OB,0.6951411366462708
42,28974,OB SR,SR,0.7365022301673889
43,28974,EB SR,EB,0.6438714861869812
44,28974,EB SR,SR,0.7773904800415039
45,37021,OB,OB,0.9030857682228088
46,37021,EB,EB,0.8644078969955444
47,37021,SR,SR,0.76322340965271
48,37021,OB EB,OB,0.8049814105033875
49,37021,OB EB,EB,0.8252509832382202
50,37021,OB SR,OB,0.7815896272659302
51,37021,OB SR,SR,0.8387241363525391
52,37021,EB SR,EB,0.8187692761421204
53,37021,EB SR,SR,0.8509992361068726
54,38131,OB,OB,0.8479034900665283
55,38131,EB,EB,0.739995002746582
56,38131,SR,SR,0.6017382740974426
57,38131,OB EB,OB,0.8582785129547119
58,38131,OB EB,EB,0.7127769589424133
59,38131,OB SR,OB,0.7564694285392761
60,38131,OB SR,SR,0.571253776550293
61,38131,EB SR,EB,0.7974916100502014
62,38131,EB SR,SR,0.5931294560432434
63,47910,OB,OB,0.883051872253418
64,47910,EB,EB,0.887135922908783
65,47910,SR,SR,0.7698136568069458
66,47910,OB EB,OB,0.8798325061798096
67,47910,OB EB,EB,0.8555851578712463
68,47910,OB SR,OB,0.838713526725769
69,47910,OB SR,SR,0.7615748643875122
70,47910,EB SR,EB,0.8914892077445984
71,47910,EB SR,SR,0.7114889621734619
